n_clients,distance (km),load (m3),wasted vol (m3)
30,87.41,17.785646404502046,0.21435359549795407
16,62.11,9.436694300000001,8.563305699999999
4,31.99,17.8723293544,0.12767064559999852
19,70.06,14.29317662959476,3.7068233704052407
28,34.34,17.982805566666663,0.017194433333337145
23,35.4,17.909361564417637,0.09063843558236329
26,40.04,18.008771550000002,-0.008771550000002293
29,29.75,16.925094366591853,1.0749056334081466
26,38.4,14.428684133333334,3.571315866666666
